company_name,website,country,industry,size,Annual_Revenue_USD,Primary_Domain,Founded_Year,Headquarters_City,person_name,email,phone,job_title,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,suggested_industry,suggested_phone,is_duplicate,duplicate_group,role_function,role_confidence
TechVenture Solutions,www.techventure.com,United States,Software Development,250-500,45000000,Cloud Computing & AI,2015,San Francisco,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Technology,,False,email_match_0,Other,0.0
GlobalFinance Corp,www.globalfinance.co.uk,United Kingdom,Financial Services,1000+,850000000,Investment Banking,1998,London,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,United Kingdom,0.0,0.0,,Financial Services,,True,email_match_0,Other,0.0
EcoEnergy Systems,www.ecoenergy.de,Germany,Renewable Energy,100-250,12000000,Solar & Wind Solutions,2010,Berlin,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,Germany,0.0,0.0,,Renewable Energy,,True,email_match_0,Other,0.0
SecureNet Industries,www.securenet.ca,Canada,Cybersecurity,50-100,8500000,Network Security,2018,Toronto,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,Canada,0.0,0.0,Industry Standardization,Technology,,True,email_match_0,Other,0.0
InnovateLabs Inc,www.innovatelabs.sg,Singapore,Artificial Intelligence,75-150,22000000,Machine Learning,2017,Singapore,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,Singapore,0.0,0.0,,Artificial Intelligence,,True,email_match_0,Other,0.0
GreenBuild Construction,www.greenbuild.au,Australia,Construction,500-1000,125000000,Sustainable Architecture,2008,Sydney,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,Australia,0.0,0.0,,Construction,,True,email_match_0,Other,0.0
DataDrive Analytics,www.datadrive.in,India,Business Intelligence,200-500,15000000,Data Analytics,2019,Bangalore,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,India,0.0,0.0,,Business Intelligence,,True,email_match_0,Other,0.0
QuantumTech Research,www.quantumtech.se,Sweden,Quantum Computing,30-50,5000000,Quantum Technologies,2021,Stockholm,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,Sweden,0.0,0.0,,Quantum Computing,,True,email_match_0,Other,0.0
CloudScale Enterprises,www.cloudscale.jp,Japan,Cloud Infrastructure,300-750,95000000,Infrastructure as a Service,2012,Tokyo,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,Japan,0.0,0.0,,Cloud Infrastructure,,True,email_match_0,Other,0.0
BlockchainVault Ltd,www.blockchainavault.ch,Switzerland,Blockchain,100-200,18000000,Cryptocurrency & DeFi,2016,Zurich,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,Switzerland,0.0,0.0,,Blockchain,,True,email_match_0,Other,0.0
People_Name,Title,Email,Phone,Role_Function,Company_Name,Department,Location,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,Email,0.0,0.0,,Phone,,True,email_match_0,Other,0.0
John Mitchell,Chief Executive Officer,john.mitchell@techventure.com,+1-415-555-0101,Executive Leadership,TechVenture Solutions,C-Suite,San Francisco,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,john.mitchell@techventure.com,0.0,0.0,,+1-415-555-0101,,True,email_match_0,Other,0.0
Sarah Chen,Senior Cloud Architect,sarah.chen@techventure.com,+1-415-555-0102,Technical Architecture,TechVenture Solutions,Engineering,San Francisco,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,sarah.chen@techventure.com,0.0,0.0,,+1-415-555-0102,,True,email_match_0,Other,0.0
Michael Rodriguez,Product Manager - Cloud Solutions,michael.r@techventure.com,+1-415-555-0103,Product Management,TechVenture Solutions,Product,San Francisco,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,michael.r@techventure.com,0.0,0.0,,+1-415-555-0103,,True,email_match_0,Other,0.0
Emily Watson,Lead Software Engineer,emily.watson@techventure.com,+1-415-555-0104,Software Development,TechVenture Solutions,Engineering,San Francisco,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,emily.watson@techventure.com,0.0,0.0,,+1-415-555-0104,,True,email_match_0,Other,0.0
David Park,DevOps Engineer,david.park@techventure.com,+1-415-555-0105,Infrastructure,TechVenture Solutions,Engineering,San Francisco,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,david.park@techventure.com,0.0,0.0,,+1-415-555-0105,,True,email_match_0,Other,0.0
James Thompson,Chief Financial Officer,james.thompson@globalfinance.co.uk,+44-20-7946-0958,Executive Leadership,GlobalFinance Corp,Finance,London,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,james.thompson@globalfinance.co.uk,0.0,0.0,,+44-20-7946-0958,,True,email_match_0,Other,0.0
