Company_Name,Website,Country,Industry,Company_Size,Annual_Revenue_USD,Primary_Domain,Founded_Year,Headquarters_City,People_Name,Title,Email,Phone,Role_Function,Company_Name,Department,Location
Acme Corporation,www.acmecorp.com,United States,Software Development,500-1000,75000000,Cloud Computing,2010,New York,James Anderson,Chief Executive Officer,james.anderson@acmecorp.com,-867,Executive Leadership,Acme Corporation,C-Suite,New York
TechFlow Solutions,www.techflow.com,Canada,IT Services,100-250,18000000,Software Consulting,2015,Toronto,Lisa Johnson,VP of Engineering,lisa.johnson@acmecorp.com,-868,Technical Leadership,Acme Corporation,Engineering,New York
CloudFirst Industries,www.cloudfirst.co.uk,United Kingdom,Cloud Services,250-500,45000000,Infrastructure,2012,London,Robert Smith,Senior Software Engineer,robert.smith@acmecorp.com,-869,Software Development,Acme Corporation,Engineering,New York
DataViz Analytics,www.dataviz.de,Germany,Data Analytics,50-100,8500000,Business Intelligence,2018,Berlin,Maria Garcia,Product Manager,maria.garcia@acmecorp.com,-870,Product Management,Acme Corporation,Product,New York
SecureLink Security,www.securelink.fr,France,Cybersecurity,75-150,12000000,Network Security,2017,Paris,David Kim,Cloud Architect,david.kim@acmecorp.com,-871,Technical Architecture,Acme Corporation,Engineering,New York
InnovatePro Tech,www.innovatepro.in,India,AI & Machine Learning,200-500,22000000,Artificial Intelligence,2019,Bangalore,Patricia Lee,Chief Financial Officer,patricia.lee@techflow.com,-1171,Executive Leadership,TechFlow Solutions,Finance,Toronto
GreenWave Energy,www.greenwave.au,Australia,Renewable Energy,100-250,16000000,Solar Solutions,2014,Sydney,Michael Chen,Solutions Architect,michael.chen@techflow.com,-1172,Technical Consulting,TechFlow Solutions,Consulting,Toronto
QuantumDrive Systems,www.quantumdrive.se,Sweden,Quantum Computing,30-75,5500000,Advanced Computing,2020,Stockholm,Jennifer White,Project Manager,jennifer.white@techflow.com,-1173,Project Management,TechFlow Solutions,Operations,Toronto
BlockChain Dynamics,www.blockchaindyn.ch,Switzerland,Blockchain,80-150,14000000,Cryptocurrency,2016,Zurich,Christopher Brown,DevOps Engineer,christopher.brown@techflow.com,-1174,Infrastructure,TechFlow Solutions,Engineering,Toronto
VentureLabs Japan,www.venturelabs.jp,Japan,IoT & Hardware,300-750,88000000,Internet of Things,2013,Tokyo,Amanda Davis,Sales Manager,amanda.davis@techflow.com,-1175,Sales,TechFlow Solutions,Sales,Toronto
,,,,,,,,,Oliver Wilson,Managing Director,oliver.wilson@cloudfirst.co.uk,-9023,Executive Leadership,CloudFirst Industries,Management,London
Acme Corporation,www.acmecorp.com,United States,Software Development,500-1000,75000000,Cloud Computing,2010,New York,Sarah Thompson,Infrastructure Manager,sarah.thompson@cloudfirst.co.uk,-9024,Infrastructure,CloudFirst Industries,Operations,London
TechFlow Solutions,www.techflow.com,Canada,IT Services,100-250,18000000,Software Consulting,2015,Toronto,Emma Martinez,Cloud Solutions Engineer,emma.martinez@cloudfirst.co.uk,-9025,Engineering,CloudFirst Industries,Engineering,London
CloudFirst Industries,www.cloudfirst.co.uk,United Kingdom,Cloud Services,250-500,45000000,Infrastructure,2012,London,James Taylor,Technical Support Lead,james.taylor@cloudfirst.co.uk,-9026,Customer Support,CloudFirst Industries,Support,London
DataViz Analytics,www.dataviz.de,Germany,Data Analytics,50-100,8500000,Business Intelligence,2018,Berlin,Sophie Robinson,Business Analyst,sophie.robinson@cloudfirst.co.uk,-9027,Analysis,CloudFirst Industries,Business,London
SecureLink Security,www.securelink.fr,France,Cybersecurity,75-150,12000000,Network Security,2017,Paris,Klaus Mueller,Chief Technology Officer,klaus.mueller@dataviz.de,-1737,Executive Leadership,DataViz Analytics,Technology,Berlin
InnovatePro Tech,www.innovatepro.in,India,AI & Machine Learning,200-500,22000000,Artificial Intelligence,2019,Bangalore,Hannah Schmidt,Senior Data Analyst,hannah.schmidt@dataviz.de,-1738,Data Analysis,DataViz Analytics,Analytics,Berlin
GreenWave Energy,www.greenwave.au,Australia,Renewable Energy,100-250,16000000,Solar Solutions,2014,Sydney,Stefan Weber,BI Developer,stefan.weber@dataviz.de,-1739,Development,DataViz Analytics,Engineering,Berlin
QuantumDrive Systems,www.quantumdrive.se,Sweden,Quantum Computing,30-75,5500000,Advanced Computing,2020,Stockholm,Brigitte Fischer,Analytics Consultant,brigitte.fischer@dataviz.de,-1740,Consulting,DataViz Analytics,Consulting,Berlin
BlockChain Dynamics,www.blockchaindyn.ch,Switzerland,Blockchain,80-150,14000000,Cryptocurrency,2016,Zurich,Thomas Beck,Account Executive,thomas.beck@dataviz.de,-1741,Sales,DataViz Analytics,Sales,Berlin
VentureLabs Japan,www.venturelabs.jp,Japan,IoT & Hardware,300-750,88000000,Internet of Things,2013,Tokyo,Francoise Dubois,Director of Security,francoise.dubois@securelink.fr,-5824,Executive Leadership,SecureLink Security,Security,Paris
,,,,,,,,,Laurent Martin,Security Engineer,laurent.martin@securelink.fr,-5825,Security Engineering,SecureLink Security,Engineering,Paris
Acme Corporation,www.acmecorp.com,United States,Software Development,500-1000,75000000,Cloud Computing,2010,New York,Maria Garcia,Product Manager,maria.garcia@acmecorp.com,-870,Product Management,Acme Corporation,Product,New York
TechFlow Solutions,www.techflow.com,Canada,IT Services,100-250,18000000,Software Consulting,2015,Toronto,David Kim,Cloud Architect,david.kim@acmecorp.com,-871,Technical Architecture,Acme Corporation,Engineering,New York
CloudFirst Industries,www.cloudfirst.co.uk,United Kingdom,Cloud Services,250-500,45000000,Infrastructure,2012,London,Patricia Lee,Chief Financial Officer,patricia.lee@techflow.com,-1171,Executive Leadership,TechFlow Solutions,Finance,Toronto
DataViz Analytics,www.dataviz.de,Germany,Data Analytics,50-100,8500000,Business Intelligence,2018,Berlin,Michael Chen,Solutions Architect,michael.chen@techflow.com,-1172,Technical Consulting,TechFlow Solutions,Consulting,Toronto
SecureLink Security,www.securelink.fr,France,Cybersecurity,75-150,12000000,Network Security,2017,Paris,Jennifer White,Project Manager,jennifer.white@techflow.com,-1173,Project Management,TechFlow Solutions,Operations,Toronto
InnovatePro Tech,www.innovatepro.in,India,AI & Machine Learning,200-500,22000000,Artificial Intelligence,2019,Bangalore,Christopher Brown,DevOps Engineer,christopher.brown@techflow.com,-1174,Infrastructure,TechFlow Solutions,Engineering,Toronto
GreenWave Energy,www.greenwave.au,Australia,Renewable Energy,100-250,16000000,Solar Solutions,2014,Sydney,Amanda Davis,Sales Manager,amanda.davis@techflow.com,-1175,Sales,TechFlow Solutions,Sales,Toronto
QuantumDrive Systems,www.quantumdrive.se,Sweden,Quantum Computing,30-75,5500000,Advanced Computing,2020,Stockholm,Maria Garcia,Product Manager,maria.garcia@acmecorp.com,-870,Product Management,Acme Corporation,Product,New York
BlockChain Dynamics,www.blockchaindyn.ch,Switzerland,Blockchain,80-150,14000000,Cryptocurrency,2016,Zurich,David Kim,Cloud Architect,david.kim@acmecorp.com,-871,Technical Architecture,Acme Corporation,Engineering,New York
VentureLabs Japan,www.venturelabs.jp,Japan,IoT & Hardware,300-750,88000000,Internet of Things,2013,Tokyo,Patricia Lee,Chief Financial Officer,patricia.lee@techflow.com,-1171,Executive Leadership,TechFlow Solutions,Finance,Toronto
